catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
87875,SMI,NA,M,SS,145,67,20,18,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87876,SMI,NA,F,SN,152,67,20,18,,,"Donahue, J P","Birdsall, B A","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87877,SMI,NA,M,SN,153,68,20,17,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87878,SMI,NA,F,SN,165,74,20,16,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/19/1970,8,19,1970
87879,SMI,NA,F,SN,160,69,20,15,,,"Donahue, J P","Abraham, H M","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
87880,SMI,NA,M,SN,150,62,21,14,,,"Donahue, J P","Abraham, H M","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
87881,SMI,NA,M,SN,156,72,17,14,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
87882,SMI,NA,F,SN,145,66,16,14,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
87883,SMI,NA,F,SN,145,66,17,17,,,"Donahue, J P","Bull, J L","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
87884,SMI,NA,F,SN,145,70,21,21,,,"Donahue, J P","Clark, J L","San Miguel Island, Cuyler Beach",,8/20/1970,8,20,1970
88205,SNI,NA,M,SN,170,81,19,21,,,"Mitchell, E D","Mitchell, E D",San Nicolas Id; Near the barracks,,4/15/1960,4,15,1960
88206,SNI,NA,F,SN,144,69,20,15,,,"Mitchell, E D","Mitchell, E D",San Nicolas Id; Near the barracks,,4/15/1960,4,15,1960
88207,SNI,NA,F,SN,138,59,19,14,,,"Mitchell, E D","Mitchell, E D",San Nicolas Id; Near the barracks,,4/15/1960,4,15,1960
89141,SCZ,NA,M,SB,174,84,22,20,,,"George, S B","George, S B",Santa Cruz Id; Prisoner's Harbor,,3/12/1988,3,12,1988
90281,SCL,NA,M,SS,168,74,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Point,,11/16/1939,11,16,1939
90282,SCL,NA,M,SS,170,78,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Point,,11/18/1939,11,18,1939
90283,SCL,NA,F,SS,170,72,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/27/1939,11,27,1939
90284,SCL,NA,M,SS,170,72,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/28/1939,11,28,1939
90285,SCL,NA,M,SS,171,74,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/28/1939,11,28,1939
90286,SCL,NA,M,SS,173,75,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/28/1939,11,28,1939
90287,SCL,NA,F,SS,170,73,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/28/1939,11,28,1939
90288,SCL,NA,F,SS,170,73,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/28/1939,11,28,1939
90289,SCL,NA,M,SO,176,79,21,17,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; China Point,,11/28/1939,11,28,1939
95944,SRI,NA,F,SO,104,73,21,17,TRUE,,"Couffer, J C","Couffer, J C","Santa Rosa island, Beecher's Bay",,12/12/1941,12,12,1941
98989,SCZ,NA,F,SB,193,95,21,21,,,"George, S B & R L Ford","Maldonado, J E",Santa Cruz Id; Prisoners Harbor (line 246),,3/13/1988,3,13,1988
