catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
6224,SNI,NA,F,SS,165,73,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6225,SNI,NA,M,SS,175,78,20,19,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6226,SNI,NA,M,SS,170,75,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6227,SNI,NA,M,SS,173,77,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6228,SNI,NA,M,SS,166,72,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6229,SNI,NA,M,SS,172,76,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6230,SNI,NA,M,SS,178,80,20,19,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/25/1939,7,25,1939
6231,SNI,NA,M,SS,167,73,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6232,SNI,NA,M,SS,177,82,20,19,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6233,SNI,NA,M,SS,181,83,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6234,SNI,NA,M,SS,168,72,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6235,SNI,NA,F,SS,165,74,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6236,SNI,NA,M,SS,170,78,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Nicolas Id,,7/26/1939,7,26,1939
6237,SMI,NA,F,SS,178,80,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6238,SMI,NA,F,SS,173,77,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6239,SMI,NA,F,SS,169,73,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6240,SMI,NA,F,SS,175,79,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6241,SMI,NA,M,SS,180,82,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6242,SMI,NA,M,SS,177,80,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6243,SMI,NA,M,SS,174,78,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6244,SMI,NA,M,SS,179,83,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6245,SMI,NA,M,SS,180,82,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6246,SMI,NA,M,SS,168,75,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6247,SMI,NA,M,SS,169,76,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6248,SMI,NA,M,SS,165,73,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6249,SMI,NA,M,SS,170,75,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6250,SMI,NA,M,SS,172,76,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6251,SMI,NA,F,SS,158,78,20,15,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6252,SMI,NA,F,SS,159,76,20,15,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6253,SMI,NA,F,SS,155,72,20,15,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6254,SMI,NA,M,SS,171,79,20,16,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6255,SMI,NA,M,SS,170,78,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6256,SMI,NA,F,SS,167,72,20,16,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6257,SMI,NA,M,SS,169,75,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6258,SMI,manic,F,SS,168,73,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6259,SMI,manic,F,SS,169,74,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6260,SMI,manic,M,SS,170,77,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6261,SMI,NA,M,SS,168,74,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6262,SMI,NA,M,SS,156,68,20,16,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6263,SMI,manic,M,SS,157,70,20,15,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Rancho Rambouillet,,7/31/1939,7,31,1939
6264,SMI,manic,F,SS,150,66,20,15,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Rancho Rambouillet,,7/31/1939,7,31,1939
6265,SMI,manic,M,SS,169,77,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/1/1939,8,1,1939
6266,SMI,manic,M,SS,160,72,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Hoffman Point,,8/2/1939,8,2,1939
6267,SMI,manic,F,SS,170,78,20,18,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Hoffman Point,,8/2/1939,8,2,1939
6268,SMI,NA,M,SS,166,78,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/2/1939,8,2,1939
6269,SMI,manic,M,SS,167,80,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/2/1939,8,2,1939
6270,SMI,manic,F,SS,170,80,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/2/1939,8,2,1939
6271,SMI,NA,M,SS,164,78,20,17,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/2/1939,8,2,1939
6272,SRI,NA,F,SS,160,66,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6273,SRI,NA,F,SS,154,63,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6274,SRI,NA,F,SS,164,67,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6275,SRI,NA,F,SS,167,72,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6276,SRI,NA,F,SS,169,71,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6277,SRI,NA,F,SS,167,73,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6278,SRI,NA,F,SS,162,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6279,SRI,NA,F,SS,165,70,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6280,SRI,NA,F,SS,163,71,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6281,SRI,NA,F,SS,161,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6282,SRI,NA,M,SS,160,66,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6283,SRI,NA,M,SS,161,70,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6284,SRI,NA,M,SS,159,68,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6285,SRI,NA,M,SS,157,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6286,SRI,NA,M,SS,160,70,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6287,SRI,NA,M,SS,158,69,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6288,SRI,NA,M,SS,153,64,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6289,SRI,NA,M,SS,156,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6290,SRI,NA,M,SS,160,70,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6291,SRI,NA,M,SS,156,69,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6292,SRI,NA,M,SS,154,65,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6293,SRI,NA,M,SS,160,67,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6294,SRI,NA,M,SS,155,63,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6295,SRI,NA,M,SS,157,68,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6296,SRI,NA,M,SS,157,66,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/5/1939,8,5,1939
6297,SRI,NA,M,SS,164,69,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6298,SRI,NA,M,SS,159,66,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6299,SRI,NA,M,SS,160,68,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6301,SRI,NA,M,SS,164,70,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6302,SRI,NA,M,SS,157,65,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6303,SRI,NA,F,SS,155,66,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6304,SRI,NA,F,SS,156,68,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/6/1939,8,6,1939
6305,SRI,NA,F,SS,154,68,19,14,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/6/1939,8,6,1939
6306,SRI,NA,M,SS,162,69,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/6/1939,8,6,1939
6307,SRI,NA,M,SS,161,70,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/6/1939,8,6,1939
6308,SRI,NA,M,SS,160,69,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Becher's Bay,,8/6/1939,8,6,1939
6309,SRI,NA,M,SS,158,68,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6310,SRI,NA,M,SS,167,70,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6311,SRI,NA,M,SS,166,71,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6312,SRI,NA,M,SS,168,72,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6313,SRI,NA,M,SS,165,70,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6314,SRI,NA,M,SS,170,73,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6315,SRI,NA,F,SS,160,69,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6316,SRI,NA,F,SS,168,72,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6317,SRI,NA,F,SS,164,69,20,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6318,SRI,NA,M,SS,168,72,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6319,SRI,NA,M,SS,165,70,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6320,SRI,NA,M,SS,167,71,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6321,SRI,NA,M,SS,162,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6322,SRI,NA,M,SS,164,69,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6323,SRI,NA,M,SS,159,65,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6324,SRI,NA,M,SS,168,73,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6325,SRI,NA,M,SS,167,72,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6326,SRI,NA,F,SS,161,67,20,15,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6329,SCZ,NA,M,SS,203,98,22,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6330,SCZ,NA,M,SS,183,82,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6331,SCZ,NA,M,SS,185,87,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6332,SCZ,NA,M,SS,191,89,22,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6333,SCZ,NA,M,SS,182,85,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6334,SCZ,manic,M,SS,181,86,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6335,SCZ,manic,M,SS,199,98,22,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6336,SCZ,manic,F,SS,175,74,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Prisoner's Harbor,,8/13/1939,8,13,1939
6337,SCZ,NA,M,SS,177,82,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6338,SCZ,NA,M,SS,176,81,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6339,SCZ,NA,M,SS,172,80,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6340,SCZ,manic,F,SS,170,77,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6341,SCZ,manic,M,SS,200,95,22,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/16/1939,8,16,1939
6342,SCZ,manic,F,SS,198,93,22,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/16/1939,8,16,1939
6343,SCZ,NA,M,SS,179,87,21,17,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/16/1939,8,16,1939
6344,SCZ,manic,F,SS,175,79,21,16,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/16/1939,8,16,1939
6345,SCZ,NA,M,SS,152,71,20,14,TRUE,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/16/1939,8,16,1939
6346,SMI,NA,F,SS,202,93,22,21,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/30/1939,7,30,1939
6347,SMI,NA,F,SS,190,89,22,20,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6348,SMI,NA,F,SS,195,91,22,20,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6349,SMI,NA,F,SS,189,87,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6350,SMI,NA,F,SS,172,77,21,19,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6351,SMI,NA,M,SS,150,73,20,18,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6352,SMI,NA,F,SS,146,70,20,17,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Cuyler's Harbor,,7/31/1939,7,31,1939
6353,SMI,NA,M,SS,189,85,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/1/1939,8,1,1939
6354,SMI,NA,F,SS,185,82,21,20,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Nidever Canyon,,8/1/1939,8,1,1939
6355,SMI,NA,M,SS,180,84,22,20,,,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Hoffman Point,,8/2/1939,8,2,1939
6356,SMI,NA,F,SS,185,90,21,20,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Miguel Id; Hoffman Point,,8/2/1939,8,2,1939
6357,SRI,NA,F,SS,184,84,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6358,SRI,NA,F,SS,198,96,22,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6359,SRI,NA,F,SS,192,90,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6360,SRI,NA,M,SS,193,90,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6361,SRI,NA,M,SS,188,86,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6362,SRI,NA,M,SS,193,90,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6363,SRI,NA,M,SS,199,96,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6364,SRI,NA,M,SS,188,86,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6365,SRI,NA,M,SS,182,84,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6366,SRI,NA,F,SS,187,86,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6367,SRI,NA,F,SS,193,95,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6368,SRI,NA,F,SS,189,86,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6369,SRI,NA,M,SS,188,89,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6370,SRI,NA,M,SS,190,92,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6371,SRI,NA,M,SS,183,87,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/7/1939,8,7,1939
6372,SRI,NA,M,SS,190,92,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6374,SRI,NA,M,SS,192,92,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6375,SRI,NA,M,SS,194,93,22,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6376,SRI,NA,F,SS,193,90,22,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6377,SRI,NA,F,SS,190,89,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6378,SRI,NA,M,SS,191,91,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6379,SRI,NA,M,SS,190,89,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6380,SRI,NA,F,SS,202,96,25,22,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6381,SRI,NA,F,SS,202,98,24,22,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6382,SRI,NA,F,SS,204,100,24,22,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6383,SRI,NA,M,SS,202,100,24,22,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Elderberry Canyon,,8/6/1939,8,6,1939
6384,SRI,NA,M,SS,200,99,24,22,,,"von Bloeker, J C","von Bloeker, J C",Santa Rosa Id; Cherry Canyon,,8/8/1939,8,8,1939
6385,SCZ,NA,M,SS,195,88,24,21,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6386,SCZ,NA,M,SS,200,92,23,21,,,"von Bloeker, J C","von Bloeker, J C",Santa Cruz Id; Ranch Canyon,,8/15/1939,8,15,1939
6595,SCL,NA,M,SS,150,47,20,15,,,"Willett, G","von Bloeker, J C",San Clemente Id; Big Dog Mesa,,11/30/1939,11,30,1939
6619,SCL,NA,M,SS,205,107,25,24,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/15/1939,11,15,1939
6620,SCL,NA,M,SO,195,98,24,23,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/15/1939,11,15,1939
6621,SCL,NA,F,SS,202,103,25,23,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach,,11/15/1939,11,15,1939
6622,SCL,NA,F,SS,128,40,25,22,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/15/1939,11,15,1939
6623,SCL,NA,F,SS,127,19,25,23,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/16/1939,11,16,1939
6624,SCL,NA,F,SS,218,105,25,23,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/16/1939,11,16,1939
6625,SCL,NA,M,SS,192,95,22,22,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/16/1939,11,16,1939
6626,SCL,NA,M,SS,220,110,25,24,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/16/1939,11,16,1939
6627,SCL,NA,M,SS,210,102,25,23,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/17/1939,11,17,1939
6628,SCL,NA,F,SS,195,108,23,22,,TRUE,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/17/1939,11,17,1939
6629,SCL,NA,F,SS,214,104,24,23,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; Horse Beach Canyon,,11/18/1939,11,18,1939
6630,SCL,NA,M,SS,204,100,25,24,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; China Canyon,,12/3/1939,12,3,1939
6631,SCL,NA,F,SS,185,98,24,23,TRUE,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; China Canyon,,12/3/1939,12,3,1939
6632,SCL,NA,M,SS,206,103,25,24,,,"von Bloeker, J C","von Bloeker, J C",San Clemente Id; China Canyon,,12/4/1939,12,4,1939
